id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
166,http://static-media.fxx.com/img/FX_Networks_-_FXX/318/103/Simpsons_08_04.jpg,7.7,1088,13,166,07/02/1997,1997,3G03,8,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,17.7,http://www.simpsonsworld.com/video/436271683676,57608
165,http://static-media.fxx.com/img/FX_Networks_-_FXX/313/723/Simpsons_08_14.jpg,8.6,1137,12,165,02/02/1997,1997,4F10,8,Mountain of Madness,9.1,http://www.simpsonsworld.com/video/436267075791,60763
164,http://static-media.fxx.com/img/FX_Networks_-_FXX/311/271/Simpsons_08_12.jpg,7.8,998,11,164,19/01/1997,1997,4F08,8,The Twisted World of Marge Simpson,14,http://www.simpsonsworld.com/video/436264515927,71813
163,http://static-media.fxx.com/img/FX_Networks_-_FXX/306/391/Simpsons_08_03__677111.jpg,9,1793,10,163,12/01/1997,1997,3G01,8,The Springfield Files,20.9,http://www.simpsonsworld.com/video/436259395954,69555
162,http://static-media.fxx.com/img/FX_Networks_-_FXX/300/35/Simpsons_08_02.jpg,8.5,1383,9,162,05/01/1997,1997,3F24,8,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),14.9,http://www.simpsonsworld.com/video/436252739905,64743
161,http://static-media.fxx.com/img/FX_Networks_-_FXX/297/607/Simpsons_08_11.jpg,8.8,1268,8,161,29/12/1996,1996,4F07,8,Hurricane Neddy,,http://www.simpsonsworld.com/video/436250179702,66281
160,http://static-media.fxx.com/img/FX_Networks_-_FXX/361/767/Simpsons_08_05__410383.jpg,7.8,1005,7,160,15/12/1996,1996,4F01,8,Lisa's Date with Density,,http://www.simpsonsworld.com/video/306394691862,60912
159,http://static-media.fxx.com/img/FX_Networks_-_FXX/1024/983/Simpsons_08_08.jpg,8,1008,6,159,01/12/1996,1996,4F04,8,A Milhouse Divided,12.8,http://www.simpsonsworld.com/video/277025347786,60956
158,http://static-media.fxx.com/img/FX_Networks_-_FXX/558/375/Simpsons_08_10.jpg,8.2,1098,5,158,24/11/1996,1996,4F06,8,Bart After Dark,14.1,http://www.simpsonsworld.com/video/294789699801,60210
157,http://static-media.fxx.com/img/FX_Networks_-_FXX/47/258/Simpsons_08_09.jpg,7.7,1079,4,157,17/11/1996,1996,4F05,8,"Burns, Baby Burns",12.6,http://www.simpsonsworld.com/video/299622467514,55497
156,http://static-media.fxx.com/img/FX_Networks_-_FXX/283/431/Simpsons_08_07__807077.jpg,8,1085,3,156,10/11/1996,1996,4F03,8,The Homer They Fall,17,http://www.simpsonsworld.com/video/288058947803,61146
155,http://static-media.fxx.com/img/FX_Networks_-_FXX/357/863/Simpsons_08_01__547424.jpg,9.2,2439,2,155,03/11/1996,1996,3F23,8,You Only Move Twice,13.9,http://www.simpsonsworld.com/video/306390595776,79609
154,http://static-media.fxx.com/img/FX_Networks_-_FXX/49/711/Simpsons_08_06__754432.jpg,8.3,1186,1,154,27/10/1996,1996,4F02,8,Treehouse of Horror VII,18.3,http://www.simpsonsworld.com/video/299625027835,102077
153,http://static-media.fxx.com/img/FX_Networks_-_FXX/1013/746/Simpsons_07_24.jpg,8.3,1119,25,153,19/05/1996,1996,3F22,7,Summer of 4 Ft. 2,14.7,http://www.simpsonsworld.com/video/277013571573,65847
152,http://static-media.fxx.com/img/FX_Networks_-_FXX/1008/867/Simpsons_07_23.jpg,8,1095,24,152,19/05/1996,1996,3F21,7,Homerpalooza,12.9,http://www.simpsonsworld.com/video/277008451637,60569
151,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/991/Simpsons_07_22.jpg,8,995,23,151,05/05/1996,1996,3F20,7,Much Apu About Nothing,11.3,http://www.simpsonsworld.com/video/310404675978,75618
150,http://static-media.fxx.com/img/FX_Networks_-_FXX/531/87/Simpsons_07_21.jpg,8.3,1122,22,150,28/04/1996,1996,3F19,7,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",13,http://www.simpsonsworld.com/video/279728707597,69120
149,http://static-media.fxx.com/img/FX_Networks_-_FXX/14/551/Simpsons_07_20.jpg,8.8,1393,21,149,14/04/1996,1996,3F18,7,22 Short Films About Springfield,10.5,http://www.simpsonsworld.com/video/299588163608,66536
148,http://static-media.fxx.com/img/FX_Networks_-_FXX/1001/35/Simpsons_07_19.jpg,8.6,1110,20,148,31/03/1996,1996,3F17,7,Bart on the Road,11.8,http://www.simpsonsworld.com/video/277000259951,70913
147,http://static-media.fxx.com/img/FX_Networks_-_FXX/275/210/Simpsons_07_17.jpg,8.2,1103,19,147,24/03/1996,1996,3F15,7,A Fish Called Selma,12.9,http://www.simpsonsworld.com/video/300935235544,57830
146,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/935/Simpsons_07_18.jpg,8,1016,18,146,17/03/1996,1996,3F16,7,The Day the Violence Died,14.4,http://www.simpsonsworld.com/video/301668931982,57809
145,http://static-media.fxx.com/img/FX_Networks_-_FXX/213/871/Simpsons_07_16.jpg,8.9,1609,17,145,25/02/1996,1996,3F14,7,Homer the Smithers,14.1,http://www.simpsonsworld.com/video/277248579634,68354
144,http://static-media.fxx.com/img/FX_Networks_-_FXX/2/111/Simpsons_07_15.jpg,8.1,1039,16,144,18/02/1996,1996,3F13,7,Lisa the Iconoclast,13.4,http://www.simpsonsworld.com/video/302796355658,58795
143,http://static-media.fxx.com/img/FX_Networks_-_FXX/667/303/Simpsons_07_14.jpg,7.7,954,15,143,11/02/1996,1996,3F12,7,Bart the Fink,15,http://www.simpsonsworld.com/video/301346371709,71230
142,http://static-media.fxx.com/img/FX_Networks_-_FXX/717/799/Simpsons_07_13.jpg,7.7,962,14,142,04/02/1996,1996,3F11,7,Scenes from the Class Struggle in Springfield,14.4,http://www.simpsonsworld.com/video/305694276001,58572
141,http://static-media.fxx.com/img/FX_Networks_-_FXX/995/179/Simpsons_07_11.jpg,8.7,1264,13,141,14/01/1996,1996,3F09,7,Two Bad Neighbors,16.5,http://www.simpsonsworld.com/video/276994115834,64224
140,http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/707/Simpsons_07_12.jpg,8.3,1064,12,140,07/01/1996,1996,3F10,7,Team Homer,16.7,http://www.simpsonsworld.com/video/302792771967,72268
139,http://static-media.fxx.com/img/FX_Networks_-_FXX/694/351/Simpsons_07_09.jpg,8.3,1146,11,139,17/12/1995,1995,3F07,7,Marge Be Not Proud,16.7,http://www.simpsonsworld.com/video/305669699710,68970
138,http://static-media.fxx.com/img/FX_Networks_-_FXX/173/987/Simpsons_07_25_Spectacular.jpg,7.5,1038,10,138,03/12/1995,1995,3F31,7,The Simpsons 138th Episode Spectacular,16.4,http://www.simpsonsworld.com/video/324451395934,56153
137,http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/706/Simpsons_07_10.jpg,8,1023,9,137,26/11/1995,1995,3F08,7,Sideshow Bob's Last Gleaming,14.2,http://www.simpsonsworld.com/video/302792771516,61246
136,http://static-media.fxx.com/img/FX_Networks_-_FXX/985/419/Simpsons_07_08.jpg,8.5,1226,8,136,19/11/1995,1995,3F06,7,Mother Simpson,15.3,http://www.simpsonsworld.com/video/276983875726,61085
135,http://static-media.fxx.com/img/FX_Networks_-_FXX/555/447/Simpsons_07_07.jpg,9,1633,7,135,05/11/1995,1995,3F05,7,King-Size Homer,17,http://www.simpsonsworld.com/video/294786627843,81426
134,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/491/Simpsons_07_06.jpg,8.5,1304,6,134,29/10/1995,1995,3F04,7,Treehouse of Horror VI,19.7,http://www.simpsonsworld.com/video/310404163601,110342
133,http://static-media.fxx.com/img/FX_Networks_-_FXX/981/1015/Simpsons_07_05.jpg,8.5,1288,5,133,15/10/1995,1995,3F03,7,Lisa the Vegetarian,14.6,http://www.simpsonsworld.com/video/276980291592,69245
132,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/183/Simpsons_07_04.jpg,8.7,1354,4,132,08/10/1995,1995,3F02,7,Bart Sells His Soul,14.8,http://www.simpsonsworld.com/video/276972099995,65333
131,http://static-media.fxx.com/img/FX_Networks_-_FXX/151/307/Simpsons_07_03.jpg,8.3,1088,3,131,01/10/1995,1995,3F01,7,Home Sweet Homediddly-Dum-Doodily,14.5,http://www.simpsonsworld.com/video/306174019869,70120
130,http://static-media.fxx.com/img/FX_Networks_-_FXX/716/823/Simpsons_07_01.jpg,8.3,1172,2,130,24/09/1995,1995,2F17,7,Radioactive Man,15.7,http://www.simpsonsworld.com/video/305693251940,62390
129,http://static-media.fxx.com/img/FX_Networks_-_FXX/713/395/Simpsons_07_02.jpg,8.9,1497,1,129,17/09/1995,1995,2F20,7,Who Shot Mr. Burns? (Part Two),16,http://www.simpsonsworld.com/video/305689667892,67579
128,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/567/Simpsons_06_18.jpg,9.1,1619,25,128,21/05/1995,1995,2F16,6,Who Shot Mr. Burns? (Part One),15,http://www.simpsonsworld.com/video/294781507859,86070
127,http://static-media.fxx.com/img/FX_Networks_-_FXX/445/31/Simpsons_06_22__554399.jpg,8.6,1285,24,127,14/05/1995,1995,2F22,6,Lemon of Troy,13.1,http://www.simpsonsworld.com/video/274269763684,70698
126,http://static-media.fxx.com/img/FX_Networks_-_FXX/712/918/Simpsons_06_21.jpg,8.2,1003,23,126,07/05/1995,1995,2F21,6,The Springfield Connection,12.7,http://www.simpsonsworld.com/video/305689155572,79777
125,http://static-media.fxx.com/img/FX_Networks_-_FXX/838/23/Simpsons_06_24__681923.jpg,8.3,1084,22,125,30/04/1995,1995,2F32,6,'Round Springfield,12.6,http://www.simpsonsworld.com/video/275755587777,56001
124,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/67/Simpsons_06_20.jpg,8.1,1004,21,124,16/04/1995,1995,2F19,6,The PTA Disbands,11.8,http://www.simpsonsworld.com/video/294780995610,74788
123,http://static-media.fxx.com/img/FX_Networks_-_FXX/676/183/Simpsons_06_19.jpg,8.1,1051,20,123,09/04/1995,1995,2F18,6,Two Dozen and One Greyhounds,11.6,http://www.simpsonsworld.com/video/278807107855,62323
